Weapon														
	ロングソード	0	0	5	0	0	0	0	0	0	0	0	0	0
	レイピア	0	0	6	0	0	0	0	0	0	0	0	0	0
	サーベル	0	0	8	0	0	0	0	0	0	0	0	0	0
														
Body														
	かわのふく	0	0	0	3	0	0	0	0	0	0	0	0	0
	かわのよろい	0	0	0	6	0	0	0	0	0	0	0	0	0
														
Head														
	かわのかぶと	0	0	0	1	0	0	0	0	0	0	0	0	0
	アイアンヘルム	0	0	0	2	0	0	0	0	0	0	0	0	0
														
Arm														
	かわのこて	0	0	0	2	0	0	0	0	0	0	0	0	0
	きょじんのこて	0	0	2	0	0	0	0	0	0	0	0	0	0
														
Exterior														
	マント	0	0	0	0	0	1	0	0	0	0	0	0	0
	レザーマント	0	0	0	0	0	2	0	0	0	0	0	0	0
	レザーブーツ	0	0	0	1	0	0	0	0	0	0	0	0	0
														
Accessory														
	ポイズンチェック	0	0	0	0	0	0	0	0	5	0	0	0	0
	炎のリング	0	0	0	0	0	0	0	30	0	0	0	0	0
