CharsUnique														
	ホーン	800	700	350	210	330	170	200	0	0	0	0	0	0
	サンナン	900	400	400	220	180	150	180	0	0	0	0	0	0
	ナル	700	800	250	200	380	250	450	0	0	0	0	0	0
	リゼッタ	750	850	310	240	450	130	350	0	0	0	0	0	0
	アスラ	750	600	330	190	330	230	250	0	0	0	0	0	0
	マリア	650	990	280	170	420	180	400	0	0	0	0	0	0
														
Weapon														
	ロングソード	0	0	5	0	0	0	0	0	0	0	0	0	0
	レイピア	0	0	6	0	0	0	0	0	0	0	0	0	0
	サーベル	0	0	8	0	0	0	0	0	0	0	0	0	0
														
Body														
	かわのふく	0	0	0	3	0	0	0	0	0	0	0	0	0
	かわのよろい	0	0	0	6	0	0	0	0	0	0	0	0	0
														
Head														
	かわのかぶと	0	0	0	1	0	0	0	0	0	0	0	0	0
	アイアンヘルム	0	0	0	2	0	0	0	0	0	0	0	0	0
														
Arm														
	かわのこて	0	0	0	2	0	0	0	0	0	0	0	0	0
	きょじんのこて	0	0	2	0	0	0	0	0	0	0	0	0	0
														
Exterior														
	マント	0	0	0	0	0	1	0	0	0	0	0	0	0
	レザーマント	0	0	0	0	0	2	0	0	0	0	0	0	0
	レザーブーツ	0	0	0	1	0	0	0	0	0	0	0	0	0
														
Accessory														
	ポイズンチェック	0	0	0	0	0	0	0	0	5	0	0	0	0
	炎のリング	0	0	0	0	0	0	0	30	0	0	0	0	0
